,source,target,edge
922,specific series film capacitors,2012,announced
923,,kapton film dhgate,is
924,iec standards,european  standards,harmonized with european
925,many  manufacturers,standard  abbreviations,continue
926,required capacitance tolerance,particular  application,determined by
927,derating  factors,voltages,apply to
928,allowable peak value,superimposed alternating voltage,is frequency
929,film capacitors,alternating  voltage,polarized
930,capacitors,effect,designed
931,,values  capacitor,[
932,dissipation factor,film capacitors,is frequency-
933,film capacitors,aging  processes,are subject
934,main  advantages,film capacitors,are
935,,esr capacitor construction, 
936,important  criteria,application,are
937,called snubber capacitors,special construction features,have
938,ac  capacitors,,are available
939,surge   discharge capacitors,short  duration,are
940,power capacitors,physical  dimensions,reach
941,most  animations,generated  imagery,made with
942,animation,also information technology interfaces,is
943,little,detailed  drawings,showcased
944,el apóstol,cutout  animation,was
945,terrytoons,tom terrific,released
946,animation market,2008,was worth
947,today  drawings,directly computer system,scanned into
948,3d animation,digitally  animator,modeled
949,animator,,starts by
950,traits,live  action,are
951,list,follows:\n,is as
952,most  animations,generated  imagery,made with
953,animation,also information technology interfaces,is
954,little,detailed  drawings,showcased
955,el apóstol,cutout  animation,was
956,terrytoons,tom terrific,released
957,animation market,2008,was worth
958,today  drawings,directly computer system,scanned into
959,3d animation,digitally  animator,modeled
960,animator,,starts by
961,traits,live  action,are
962,list,follows:\n,is as
963,area,jubilee hills,consists of
964,mmts train station,hitec city.\n,is at
965,film roll,film cameras,exposed before
966,where  film,advantages,are
967,digital imaging systems,different cost emphases,have different
968,digital  cameras,more film equivalents,are
969,prices,intense  competition,dropping
970,film,italian giacomo ciarrapico,is
971,it,television series boris.\n,based on
972,schwarzenegger,later  role,confirmed
973,story,miller,drafted
974,,script,hired
975,she,harder  anybody,worked
976,special effects supervisor neil,largest set piece,created
977,schwarzenegger,october,completed
978,certain  scenes,rated  violence,filmed
979,it,misogynistic internet comments,was
980,theatrical  trailers,august,released on
981,game,september,released on
982,t-800  model,mortal  kombat,be
983,schwarzenegger,later  role,confirmed
984,story,miller,drafted
985,,script,hired
986,she,harder  anybody,worked
987,special effects supervisor neil,largest set piece,created
988,schwarzenegger,october,completed
989,certain  scenes,rated  violence,filmed
990,it,misogynistic internet comments,was
991,theatrical  trailers,august,released on
992,game,september,released on
993,t-800  model,mortal  kombat,be
994,suspense,important plot element,maintained as
995,mystery films,mainly  crime,focus with
996,women,films,are
997,earliest mystery films,silent  era,reach
998,film,more  1953,remade
999,two  films,now  1909,made in
1000,story,again  1993,remade
1001,made  series,starred nigel holmes,rathbone
1002,silent charlie chan films,now  1920s,produced in
1003,monogram,oriental  detective,responded by
1004,last  film,1937,released in
1005,canary murder case,william vance,called
1006,breezy comedy that,thin man formula,bradford
1007,standard house that,standard house formula,were
1008,film,entirely  viewpoint,filmed
1009,columbia,chick  detective,produced
1010,mysterious  he,mysterious  intruder,was
1011,character,real life brother,killed
1012,this,french exile rené clair, 
1013,premise,dark genre horror films,used countless
1014,,kiss bang,kiss
1015,where  you,them,are
1016,bride,black françois truffaut,wore black
1017,film,detective part genre,is
1018,george peppard,private  p.j,is
1019,culp  cosby,downbeat  hickey,are hard
1020,series,bitten  detective,boothe as
1021,films,female  detectives,fared
1022,serial  killings,alphabet killer,portrayed in
1023,main  examples,,include
1024,,mulholland falls,in
1025,,private  eye,features
1026,ursel,german daniel embassy,killed
1027,two certificate awards,national film awards,discontinued from 15th
1028,award,rajat  kamal,includes
1029,i,anything,play
1030,western  theatre,considerably  romans,developed
1031,dell'arte,very  props,was
1032,plays,stock characters,utilised
1033,puritans,theatre,viewed
1034,restoration comedy,sexual  explicitness,is notorious
1035,,british actor managers,was
1036,larger  capital,major  city,required
1037,only  men,formerly  societies,become
1038,some,it,hot
1039,most  scripts,blocking,specify
1040,actors,hand,have
1041,silent film acting,modern day audiences,is apt
1042,vaudeville theatre,silent film actors,was
1043,film actors,mark,need
1044,film actors,well screen tests,need
1045,tv actors,lav mics,need
1046,first,series,known as
1047,it,1940s,was
1048,audio  drama,produced  cds,found on
1049,i,anything,play
1050,western  theatre,considerably  romans,developed
1051,dell'arte,very  props,was
1052,plays,stock characters,utilised
1053,puritans,theatre,viewed
1054,restoration comedy,sexual  explicitness,is notorious
1055,,british actor managers,was
1056,larger  capital,major  city,required
1057,only  men,formerly  societies,become
1058,some,it,hot
1059,most  scripts,blocking,specify
1060,actors,hand,have
1061,silent film acting,modern day audiences,is apt
1062,vaudeville theatre,silent film actors,was
1063,film actors,mark,need
1064,film actors,well screen tests,need
1065,tv actors,lav mics,need
1066,first,series,known as
1067,it,1940s,was
1068,audio  drama,produced  cds,found on
1069,sometimes  copy,lost  film,rediscovered
1070,destruction,cases,was proactive
1071,nitrate  film,deteriorated  condition,combust
1072,high profile example,theda bara,is
1073,35\xa0 mm safety film,1949,introduced in
1074,occasionally  prints,films,rediscovered
1075,film,premiere  version,restored
1076,television material,film,recovered
1077,it,since  television,shown on
1078,,popular consumer snapshots,size
1079,instant film formats,typically  100,have
1080,process,film type,varies according
1081,h. land,polaroid land process,introduced
1082,film speeds,film density,were
1083,it,1963,introduced in
1084,it,1972,introduced in
1085,polavision film,market,taken
1086,it,1983,introduced in
1087,polaroid,instant  film,produces instant
1088,polaroid pif-300 film,mini fuji film,rebranded
1089,original  plan,type instant packfilm type products,was
1090,,compatible instax camera,announced
1091,formulation,improved  films,supplanted by
1092,mystery drama series,ensemble  cast,features
1093,mystery drama series,ensemble  cast,features
1094,salman  khan,,is
1095,khan,eldest  screenwriter,is
1096,he,st,attended
1097,,mumbai,college in
1098,he,1995,starred in
1099,played  who,family enemies,brothers
1100,he,unconventional  performance,given
1101,film,mixed  reviews,received mixed
1102,first  release,2010,was
1103,it,later  tamil,remade in
1104,film,brother,produced by
1105,first  release,2011,was ready
1106,next  film,mahesh manjrekar,be shikshanachya
1107,first  film,banner,was
1108,cabbie,grossing  canada,became
1109,,2008  khan,hosted
1110,,kuch kar dikhane ndtv,ka on
1111,khan,also bigg boss,hosted
1112,akshay  kumar,khan,replaced
1113,khan,also detergent brand wheel,is
1114,tiger biscuits,latest  salman,is
1115,he,also  ranbaxy,is
1116,salman,bodyguard  son,decided
1117,foundation,two focus areas,has
1118,youngster,bhaijaan star khan,wished
1119,khan,galaxy apartments,resides in
1120,khan,actress katrina kaif,started
1121,2013  he,august,declared
1122,court,fast  case,refused
1123,then  they,it,got
1124,salman  khan,,is
1125,khan,eldest  screenwriter,is
1126,he,st,attended
1127,,mumbai,college in
1128,he,1995,starred in
1129,played  who,family enemies,brothers
1130,he,unconventional  performance,given
1131,film,mixed  reviews,received mixed
1132,first  release,2010,was
1133,it,later  tamil,remade in
1134,film,brother,produced by
1135,first  release,2011,was ready
1136,next  film,mahesh manjrekar,be shikshanachya
1137,first  film,banner,was
1138,cabbie,grossing  canada,became
1139,,2008  khan,hosted
1140,,kuch kar dikhane ndtv,ka on
1141,khan,also bigg boss,hosted
1142,akshay  kumar,khan,replaced
1143,khan,also detergent brand wheel,is
1144,tiger biscuits,latest  salman,is
1145,he,also  ranbaxy,is
1146,salman,bodyguard  son,decided
1147,foundation,two focus areas,has
1148,youngster,bhaijaan star khan,wished
1149,khan,galaxy apartments,resides in
1150,khan,actress katrina kaif,started
1151,2013  he,august,declared
1152,court,fast  case,refused
1153,then  they,it,got
1154,writer joanna hogg,2007 actor tom film,worked
1155,mehra,music,composed
1156,baby noor jehan,first  actress,was first
1157,principal  photography,december,began in
1158,only call ladies,incessantly call centre,pleads
1159,karamveer,unsolicited  requests,frustrated with such
1160,move everyone,more  puja,backfires
1161,this,further  backfires,move further
1162,toto,karamveer,gangs
1163,nushrat bharucha,him,cast opposite
1164,principal  photography,december,began in
1165,film,13  september,released
1166,song dhagala lagali,,removed due
1167,gorilla,comedy thriller don sandy,is
1168,music,sam c.,composed by
1169,r. b. gurudev,anthony l. ruben,done by
1170,c. s.,yugabharathi,penned by
1171,film reference,1990,opened in
1172,umbrella organization tiffg,2009,renamed
1173,five storey facility,five  cinemas,spaces
1174,films,december,announced in
1175,major  prize,feature length film,given
1176,choice awards,also  documentary,presented for
1177,it,different  angle,rewritten with
1178,film,production,titled
1179,pk,19  december,released on
1180,criticism,hindu  sentiment,focused on
1181,he,cassette recorder,manages
1182,,jaggu  india,returns to
1183,people,nothing,know
1184,,,leaves for delhi
1185,tapasvi,remote,forced
1186,eventually  they,film,decided
1187,second motion poster,20  august,released on
1188,third motion poster,15  september,released on
1189,teaser,film,attached with
1190,character,film,speaks
1191,he,mitha banarasi paan,enjoyed
1192,game,feature phones,developed for
1193,it,google play,launched on
1194,pk,6  june,scheduled
1195,director,more rajkumar time,wanted
1196,besides  portions,sanjay  dutt,were
1197,hence  makers,december release,settled for
1198,pk,4844  screens,released in
1199,pk,uttar  pradesh,made
1200,music rights,₹150 million,sold for
1201,dna,first  rentrak,reported
1202,full  soundtrack,17  november,released on
1203,song tharki chokro,8  november,is
1204,rajkumar hirani,doubt,is without
1205,it,international  markets,became
1206,it,grossing  2014,was
1207,pk,indian  ₹7\xa0billion,was
1208,film,chiranjeevi,narrated by
1209,soundtrack  score,ilaiyaraaja,composed by
1210,rudrama,prince  manner,brought
1211,they,devagiri  empire,repel
1212,allu  arjun,eventually  role,selected
1213,neeta lulla,costumes,designed
1214,official  trailer,march,released in
1215,₹86.92,35  days,was
1216,soundtrack,tamil,released
1217,aadujeevitham,indian survival drama blessy,is
1218,original  score,a. r. rahman,mohanan
1219,film score,maestro a. r. rahman.\n,composed by maestro
1220,sonoko,fellow art student,falls for
1221,relationship,partners.\n,develops
1222,transparency,2010 raul inglis.\n,is
1223,camera rig,robert f. elder,harry
1224,new  audioscopiks,,premiered january
1225,even lippert shorts,dual strip format,were available
1226,james mage,early 3d craze,was
1227,five  he,five  that,shorts
1228,project,3  rko,was
1229,one  film,notoriety,was
1230,it,70\xa0 mm 3d,released in
1231,which,two  films,experience
1232,,love,butler
1233,expo,egyptian  theatre,held at
1234,lost  shorts,,shown
1235,this,many  ways,is problematic
1236,real  option,new stereoscopic cameras,is
1237,it,existing 3d camera system,was
1238,digital cinema cameras,3d,[
1239,several  films,3d backgrounds,[
1240,one  exception,orin,is starchaser
1241,polar  express,2004,was
1242,3d version,imax  theaters,was
1243,other animation films,solely  3d,released
1244,different 2d techniques,other 2d films,employed
1245,this,visual  effects,lead to strange
1246,3d films,special  presentations,converted to
1247,stereoscopic  pictures,around  1936,been
1248,linear  polarization,likewise level stereo projectors,used with
1249,screen image,result,is darker
1250,this,nvidia,is
1251,optical 3d system,projection filters,contains
1252,red anaglyph glasses,thin film coatings,cyan
1253,rod,passive  lidar,act as
1254,versions,2  glasses,marketed
1255,brightness cinema standard,196 foot m.,is
1256,it,extended  universe,is
1257,team,laboratory,destroys
1258,she,confidence,lose
1259,she,confidence,have
1260,she,human  heart.\n,has
1261,it,own wonder woman,was
1262,grown  you,grown  woman,different to
1263,gadot,three picture deal,signed
1264,he,picture  deal,signed
1265,it,ever warner bros,was
1266,it,rated superhero site,is
1267,jenkins,1918 era london,make
1268,gas,war,intended
1269,david,popular  mechanics,said
1270,she,gender boundaries,has
1271,everyone,her,is equal
1272,reaction,debate,was mixed
1273,it,day,'s up
1274,others,more  critique,were
1275,female  motivations,motherhood,'s
1276,it,female  character,'s
1277,you,them,speak for
1278,,robert cam gigandet,pattinson vs.
1279,,ali  larter,obsessed\n2011
1280,dylan o'brien,smaug\n2015,poulter
1281,it,blockbuster  lgbtq,is
1282,there  jason,kimberly,leaves
1283,so  they,morphing  grid,unlock
1284,,rita goldar,merges with
1285,ashley miller ashley stentz,script,hired
1286,brian tyler,music,brought
1287,newcomers dacre montgomery,then rj jason,cast as
1288,2016  filming,may,was complete
1289,additional  filming,october,occurred in
1290,music,brian tyler.\n,composed by
1291,international  trailer,december,released on
1292,they,just ant man,watch ant
1293,franchise,as  future,remains
1294,festival,world,continues
1295,french  film,,voted
1296,five  films,honorable  mentions,received honorable
1297,additionally  festival,german film 1940,renamed
1298,medaglie dell’associazione nazionale fascista,spettacolo  italian,grandi medaglie
1299,this,best  actor,awarded to best
1300,it,1921  novel,based on
1301,we,russian  zamyatin,yevgeny
1302,thomas newman,score,provided
1303,film,christian  mysticism,interpreted as
1304,warden,united president richard nixon,compared to former
1305,smith,washington,goes to
1306,castle founder rob reiner,also  script,liked
1307,freeman,additional  takes,refused
1308,scenes,also  mansfield,filmed in
1309,score,thomas newman,composed by
1310,shawshank redemption,positive  reviews,opened to
1311,it,category,win in
1312,darabont,other king stories,adapted
1313,25th  anniversary,similarly  august,celebrated in
1314,guests,darabont,included
1315,,inspiring  films,list
1316,thomas newman,score,provided
1317,film,christian  mysticism,interpreted as
1318,warden,united president richard nixon,compared to former
1319,smith,washington,goes to
1320,castle founder rob reiner,also  script,liked
1321,freeman,additional  takes,refused
1322,scenes,also  mansfield,filmed in
1323,score,thomas newman,composed by
1324,shawshank redemption,positive  reviews,opened to
1325,it,category,win in
1326,darabont,other king stories,adapted
1327,25th  anniversary,similarly  august,celebrated in
1328,guests,darabont,included
1329,,inspiring  films,list
1330,film,1972 song rocket man,titled after
1331,principal  photography,august,began in
1332,he,john reid,approached by john
1333,he,mother,falls
1334,however  project,two  decades,languished for
1335,lee hall,screenplay,set
1336,filming,initially  autumn,planned
1337,production,2 august 2018,began on
1338,film,samoa,banned from
1339,he,difficult family life,went through
1340,sex,danger zone,is like
1341,rrr,indian period action s.,is
1342,film,30 july 2020.\n,scheduled
1343,red,away  cries,drawn
1344,meanwhile tyler family,tethered,murdered by
1345,you,that,forget
1346,we,less  fortunate.\n,need
1347,official  trailer,december,released on
1348,4k release,2k master.\n,is
1349,blackhat,thriller michael mann,is
1350,hemsworth tang wei,viola mccallany,holt
1351,hack,nsa,go unnoticed
1352,lien,barely  subway,escape into
1353,they,henchmen,bring
1354,film,digital  cameras,be
1355,digital miami mann,35  mm,employed
1356,mike dean,additional  music,contributed additional
1357,,,lee
1358,it,may,premiered on
1359,currently  cut,tnt,seen on
1360,,film production glasgow,is
1361,,red  palme,road
1362,gillian,jamie hallam bell,was
1363,film,james cosmo,stars
1364,show stars,green  scott,logan
1365,i,,love luci
1366,transformers,american transformers toy line,is
1367,don murphy,g.i,planning
1368,prime  directive,working  title,used as
1369,this,comic  book,was
1370,rendered  piece,real  metal,had
1371,photographs,set,taken of
1372,allspark,own  theme,has
1373,hans zimmer,also  score,helped
1374,second  film,fallen,released
1375,third  film,dark  moon,released
1376,all,critical  reviews,received negative
1377,it,rated transformers series.\n,is
1378,it,extended  universe,is
1379,main  cast,2016,confirmed through
1380,filming,,concluded
1381,he,cause,swears
1382,orm,upper  hand,gains
1383,,him,arthur before
1384,temuera morrison,tom curry,appears as
1385,,robert ben screenplay,'
1386,2018 randall park,april,cast as
1387,gibson kelvin,visual effects supervisors,served as overall
1388,ilm,lead vfx atlantis,was
1389,underwater  ships,organic creatures,modeled
1390,ilm,670  shots,delivered
1391,they,dead island environment,worked on
1392,dinosaurs,keyframe  animation,animated
1393,digital  domain,19  shots,delivered
1394,scanline vfx,450  shots,delivered
1395,bryan  hirota,vfx supervisor,served as
1396,house dock sets,sound  stages,built on sound
1397,it,classic  rivalry,is
1398,month character posters,aquaman,released for
1399,aquaman,philippines,is
1400,aquaman,all  spectacle,wrote
1401,it,ambition,filled with
1402,2018  it,december,reported
1403,,,emmerich
1404,studio,sequel,start
1405,tinged spin off,development,announced
1406,it,united newsreel kingdom,is
1407,he,also  films,influenced by
1408,duellists,commercial  impact,had
1409,2002  cut,original  score,restored
1410,next  project,historical  paradise,was
1411,jane,free  banner,produced under
1412,,critical  successes,proved
1413,film,mixed  reviews,was
1414,film,10  november,released on
1415,sequel,6 blade october,released on
1416,kevin spacey,,sr
1417,i,questions,think
1418,who,it,is behind
1419,it,united newsreel kingdom,is
1420,he,also  films,influenced by
1421,duellists,commercial  impact,had
1422,2002  cut,original  score,restored
1423,next  project,historical  paradise,was
1424,jane,free  banner,produced under
1425,,critical  successes,proved
1426,film,mixed  reviews,was
1427,film,10  november,released on
1428,sequel,6 blade october,released on
1429,kevin spacey,,sr
1430,i,questions,think
1431,who,it,is behind
1432,biographical sports drama,bhushan kumar,produced by
1433,this,marathi film sairat,is
1434,film,31  august,wrapped
1435,release date,13  december,\n
1436,soundtrack,jerome  pushparaj.\n,composed by jerome
1437,regular  contributors,film critics,included
1438,industry,language,segmented by
1439,indian film industry,five film cultures,encompasses
1440,raghupathi venkaiah naidu,,was
1441,global  audiences,soon film industry,became aware
1442,tollygunge,indian film industry,was
1443,1940  film,indian movie world,is
1444,film,y.,directed by
1445,movement,social  realism,emphasized social
1446,javed  concoction,first masala film,identified as
1447,,se qayamat tak,koun
1448,biggest bollywood movie stars,1990s,been
1449,they,grossing bollywood films,starred in
1450,hindi  stars,anil kapoor,include
1451,malayalam filmmakers industry,adoor  gopalakrishnan,included adoor
1452,,chandran,t. v.
1453,tamil language films,multiple film festivals,appeared at multiple
1454,kanchivaram veyyil,international film festival,premiered at
1455,best time movies,list,included in
1456,indian  films,fora  festivals,appeared in international
1457,indian  cinema,repeatedly academy awards,recognised
1458,films,apu  trilogy,include
1459,this,1930s,done in
1460,typical  film,choreographed  songs,feature
1461,location shooting,often budget considerations,motivated by
1462,popular  locations,regional  industry,are
1463,productions,surviving  india,is
1464,21st  century,assamese  movies,produced
1465,bengal,science fiction,produced
1466,bengali art film directors,buddhadeb ghose,include
1467,bhojpuri film history,piyari  chadhaibo,begins with ganga
1468,few  films,following  decades,produced
1469,many film directors,silent  films,were
1470,they,mostly  mumbai,located in
1471,major gujarati directors,period,worked during
1472,art film directors,ketan  nihalani,include
1473,kannada actor rajkumar,veeranna,began
1474,he,then  subhadra,produced
1475,veeranna,wife,was
1476,rajkumar,legendary  vishnuvardhan,was
1477,kannada  directors,h.,include
1478,noted film personalities,kannada,are
1479,m. ranga rao,,bhat
1480,kannada cinema,parallel  cinema,contributed to indian
1481,,,ayyu
1482,konkani language films,mainly  goa,produced in
1483,release date,konkani film day,celebrated as konkani
1484,malayalam film industry,fourth  kochi,based in
1485,filmmakers,gopalakrishnan,include
1486,,,sathyan
1487,social  drama,feature film,credited as
1488,daniel,malayalam film industry,considered
1489,g. george,,sathyan
1490,meitei cinema,1980s,started in
1491,maipak,,was
1492,which,dhananjay nath tiwari,nagpur
1493,language film industry,bhubaneswar,operates in
1494,mohan talkie sita goswami,mohan talkie sita sunder,came from mohan
1495,mehra,first punjabi film,made
1496,manny  parmar,first 3d punjabi 3d,made
1497,,tamil,shot in
1498,studios,surviving  india,is
1499,kamal,haasan  1960,debuted in
1500,prasad imax,hyderabad,is
1501,chittor,nagaiah,was
1502,he,paul muni,known as
1503,,,rao
1504,40  films,annually  tulu,made
1505,tailor nath pandeshwar,, 
1506,enna thangadi,1971,was
1507,oriyardori asal,2011,is
1508,,prominent  ones,some of
1509,industry,language,segmented by
1510,indian film industry,five film cultures,encompasses
1511,raghupathi venkaiah naidu,,was
1512,global  audiences,soon film industry,became aware
1513,tollygunge,indian film industry,was
1514,1940  film,indian movie world,is
1515,film,y.,directed by
1516,movement,social  realism,emphasized social
1517,javed  concoction,first masala film,identified as
1518,,se qayamat tak,koun
1519,biggest bollywood movie stars,1990s,been
1520,they,grossing bollywood films,starred in
1521,hindi  stars,anil kapoor,include
1522,malayalam filmmakers industry,adoor  gopalakrishnan,included adoor
1523,,chandran,t. v.
1524,tamil language films,multiple film festivals,appeared at multiple
1525,kanchivaram veyyil,international film festival,premiered at
1526,best time movies,list,included in
1527,indian  films,fora  festivals,appeared in international
1528,indian  cinema,repeatedly academy awards,recognised
1529,films,apu  trilogy,include
1530,this,1930s,done in
1531,typical  film,choreographed  songs,feature
1532,location shooting,often budget considerations,motivated by
1533,popular  locations,regional  industry,are
1534,productions,surviving  india,is
1535,21st  century,assamese  movies,produced
1536,bengal,science fiction,produced
1537,bengali art film directors,buddhadeb ghose,include
1538,bhojpuri film history,piyari  chadhaibo,begins with ganga
1539,few  films,following  decades,produced
1540,many film directors,silent  films,were
1541,they,mostly  mumbai,located in
1542,major gujarati directors,period,worked during
1543,art film directors,ketan  nihalani,include
1544,kannada actor rajkumar,veeranna,began
1545,he,then  subhadra,produced
1546,veeranna,wife,was
1547,rajkumar,legendary  vishnuvardhan,was
1548,kannada  directors,h.,include
1549,noted film personalities,kannada,are
1550,m. ranga rao,,bhat
1551,kannada cinema,parallel  cinema,contributed to indian
1552,,,ayyu
1553,konkani language films,mainly  goa,produced in
1554,release date,konkani film day,celebrated as konkani
1555,malayalam film industry,fourth  kochi,based in
1556,filmmakers,gopalakrishnan,include
1557,,,sathyan
1558,social  drama,feature film,credited as
1559,daniel,malayalam film industry,considered
1560,g. george,,sathyan
1561,meitei cinema,1980s,started in
1562,maipak,,was
1563,which,dhananjay nath tiwari,nagpur
1564,language film industry,bhubaneswar,operates in
1565,mohan talkie sita goswami,mohan talkie sita sunder,came from mohan
1566,mehra,first punjabi film,made
1567,manny  parmar,first 3d punjabi 3d,made
1568,,tamil,shot in
1569,studios,surviving  india,is
1570,kamal,haasan  1960,debuted in
1571,prasad imax,hyderabad,is
1572,chittor,nagaiah,was
1573,he,paul muni,known as
1574,,,rao
1575,40  films,annually  tulu,made
1576,tailor nath pandeshwar,, 
1577,enna thangadi,1971,was
1578,oriyardori asal,2011,is
1579,,prominent  ones,some of
1580,where  films,centers,are
1581,only walt disney which,walt disney studios,company
1582,,southern  california,based in southern
1583,nestor studios,27 film october,was
1584,it,then david horsley,horsley
1585,still  life,international film festival,was
1586,remaining majority portion,northern  india,spread across northern
1587,indian film industry,1000  films,produces more
1588,1940s,egyptian  cinema,considered
1589,korean  films,communist  themes,tend
1590,hong  kong,speaking world, 
1591,cinema going,comparatively  turkey,is
1592,industry,early film 1970s,been
1593,word dhallywood,words,is
1594,first production company,1913,opened
1595,full length film,kiss  1931,released in
1596,minimum  cost,foreign  film,was
1597,screenplay,trinidadian  playwright,written by
1598,,fighter,released
1599,it,nepali  chalchitra,referred to
1600,it,eighty  minutes,ran
1601,griffith,nation,'s
1602,it,also a&m records, 
1603,it,currently jim henson muppets,is
1604,cultural heritage board,studio,named
1605,famous hollywood sign,,read
1606,several  sign,several  years,left
1607,tickets,250  attendance,were usd
1608,bollywood,hindi language film mumbai,is
1609,bollywood,hindi  cinema,referred to
1610,sound  film,,was
1611,huge  bollywood,sound film filming,switched
1612,however  colour,late  1950s,become
1613,film,surti,edited by
1614,mohanan,photography,was
1615,critics,writing,highlighted
1616,akash,musical  piece,attempting
1617,pramod,,is married
1618,simi kills,d'sa  presence,mrs
1619,she,him,drugs
1620,furious  sophie,akash,leaves
1621,khurrana,street,made
1622,tabu,first  simi,was
1623,it,viacom18 motion pictures,produced by
1624,lyrics,jaideep sahni,written by
1625,vocals,ayushmann srivastava,provided by
1626,background score,daniel b. george,composed by
1627,trailer,2  september,released on
1628,chief,them,is
1629,film,₹10.37  crore,did
1630,son,role.\n,reprising
1631,film,surti,edited by
1632,mohanan,photography,was
1633,critics,writing,highlighted
1634,akash,musical  piece,attempting
1635,pramod,,is married
1636,simi kills,d'sa  presence,mrs
1637,she,him,drugs
1638,furious  sophie,akash,leaves
1639,khurrana,street,made
1640,tabu,first  simi,was
1641,it,viacom18 motion pictures,produced by
1642,lyrics,jaideep sahni,written by
1643,vocals,ayushmann srivastava,provided by
1644,background score,daniel b. george,composed by
1645,trailer,2  september,released on
1646,chief,them,is
1647,film,₹10.37  crore,did
1648,son,role.\n,reprising
1649,film genre,conventions,\n
1650,popular  combinations,romantic  comedy,include
1651,williams,main genre categories,distinguishes
1652,mood,emotional  film,is
1653,many  films,multiple  genres,cross into multiple
1654,genres,,are
1655,cinema technologies,genres,associated with
1656,production attributes,low budget film,considered
1657,pattern,western  film,seen with
1658,hollywood oligopoly,edison monopoly,replaced
1659,veteran producer joseph schenck,president,hired as
1660,later  members,william cagney,included
1661,low budget films,commercial art ventures,existed as non
1662,,envelope,continued
1663,he,eventually  this,went bankrupt
1664,independent cinema movement,festival,launched
1665,domestic box office revenue,independent  studios,was from independent
1666,superior  products,major studio producer distributors,were
1667,these,united  artists,include united
1668,3  technology,independent  filmmakers,is available
1669,petróleo,de  fuentes.\n,is
1670,2003  festival,"300,000  people",brought more
1671,noire,first tribeca film festival,became
1672,von,director,founded by
1673,that,public  derision,move
1674,it,wall street journal,reviewed by
1675,term,bombay,is
1676,sound  film,,was
1677,however  colour,late  1950s,become
1678,romantic  musicals,time,were cinematic
1679,,,kapoor
1680,masala films,biggest bollywood period,bachchan
1681,popular  films,decade,were
1682,,dj song quik,addictive
1683,kronos quartet,several  r.,re
1684,songs,three hour show,combined in
1685,parallel cinema films,less box office,tended
1686,very  few,hollywood,succeed
1687,english  alice,,starred
1688,song film lyrics,different  people,scripts
1689,film scripts,latin  script,written in latin
1690,,often  god,is
1691,song lyrics,often  love,are
1692,bollywood songs,ara   song,introduced with ardeshir
1693,contemporary bollywood dancers,katrina shroff,include madhuri
1694,older  dancers,helen,include helen
1695,consumer copying,problem,adds to
1696,popular  tune,audiences,believed
1697,bollywood,other  products,used
1698,dual voting system,1956,developed in
1699,national film awards,also  1954,introduced in
1700,many  pakistanis,linguistic  similarity,understand hindi
1701,more  easing,2009,followed in
1702,popular  actors,shah rukh khan,include
1703,films,fairly  thailand,are
1704,bollywood films,widely  china,appreciated in
1705,film,south  korea,was
1706,bollywood films,soviet  russian,are popular
1707,bollywood films,often gazeta wyborcza,covered in
1708,indian  movies,new youth culture,permitted
1709,prasad yadav laloo prasad,south  africa,filmed in south
1710,kishore kumar,amitabh  egypt,been popular
1711,commercial bollywood films,elsewhere north africa,screened
1712,many bollywood films,united  kingdom,been
1713,se,top  ten,was
1714,bollywood,also  france,appreciated in
1715,small bollywood writers,rushed production schedules,known
1716,copying,everywhere  india,is endemic
1717,tv shows,american  programmes,are
1718,we,films,want
1719,he,religious  songs,respect
1720,bollywood soundtracks,guinean singer mory kanté,plagiarised guinean
1721,term,bombay,is
1722,sound  film,,was
1723,however  colour,late  1950s,become
1724,romantic  musicals,time,were cinematic
1725,,,kapoor
1726,masala films,biggest bollywood period,bachchan
1727,popular  films,decade,were
1728,,dj song quik,addictive
1729,kronos quartet,several  r.,re
1730,songs,three hour show,combined in
1731,parallel cinema films,less box office,tended
1732,very  few,hollywood,succeed
1733,english  alice,,starred
1734,song film lyrics,different  people,scripts
1735,film scripts,latin  script,written in latin
1736,,often  god,is
1737,song lyrics,often  love,are
1738,bollywood songs,ara   song,introduced with ardeshir
1739,contemporary bollywood dancers,katrina shroff,include madhuri
1740,older  dancers,helen,include helen
1741,consumer copying,problem,adds to
1742,popular  tune,audiences,believed
1743,bollywood,other  products,used
1744,dual voting system,1956,developed in
1745,national film awards,also  1954,introduced in
1746,many  pakistanis,linguistic  similarity,understand hindi
1747,more  easing,2009,followed in
1748,popular  actors,shah rukh khan,include
1749,films,fairly  thailand,are
1750,bollywood films,widely  china,appreciated in
1751,film,south  korea,was
1752,bollywood films,soviet  russian,are popular
1753,bollywood films,often gazeta wyborcza,covered in
1754,indian  movies,new youth culture,permitted
1755,prasad yadav laloo prasad,south  africa,filmed in south
1756,kishore kumar,amitabh  egypt,been popular
1757,commercial bollywood films,elsewhere north africa,screened
1758,many bollywood films,united  kingdom,been
1759,se,top  ten,was
1760,bollywood,also  france,appreciated in
1761,small bollywood writers,rushed production schedules,known
1762,copying,everywhere  india,is endemic
1763,tv shows,american  programmes,are
1764,we,films,want
1765,he,religious  songs,respect
1766,bollywood soundtracks,guinean singer mory kanté,plagiarised guinean
1767,musafir,malayalam pramod rahman,is
1768,film,cyprus,shot in
1769,it,1881,commercialized since
1770,degree symbol,finally  4512:1961,dropped with
1771,iso  standards,,adopted by
1772,originally asa values,standard speed numbers,referred to
